('NR', '29/12/18', '12:12:39')
('NR', '29/12/18', '12:12:39')
('NR', '29/12/18', '12:12:39')
('NR', '29/12/18', '12:12:40')
('NR', '29/12/18', '12:12:40')
('NR', '29/12/18', '12:12:40')
('NR', '29/12/18', '12:12:40')
('NR', '29/12/18', '12:12:40')
('NR', '29/12/18', '12:12:40')
('NR', '29/12/18', '12:12:40')
('NR', '29/12/18', '12:12:40')
('NR', '29/12/18', '12:12:41')
('NR', '29/12/18', '12:12:41')
('NR', '29/12/18', '12:12:41')
('NR', '29/12/18', '12:12:41')
('NR', '29/12/18', '12:12:41')
('NR', '29/12/18', '12:12:41')
('NR', '29/12/18', '12:12:41')
('NR', '29/12/18', '12:12:41')
('NR', '29/12/18', '12:12:41')
('NR', '29/12/18', '12:12:42')
('NR', '29/12/18', '12:12:42')
('NR', '29/12/18', '12:12:42')
('NR', '29/12/18', '12:12:42')
('NR', '29/12/18', '12:12:42')
('NR', '29/12/18', '12:12:42')
('NR', '29/12/18', '12:12:42')
('NR', '29/12/18', '12:12:42')
('NR', '29/12/18', '12:12:42')
('NR', '29/12/18', '12:12:43')
('NR', '29/12/18', '12:12:43')
('OA', '29/12/18', '12:12:43')
('OA', '29/12/18', '12:12:43')
('OA', '29/12/18', '12:12:43')
('OA', '29/12/18', '12:12:43')
('OA', '29/12/18', '12:12:43')
('OA', '29/12/18', '12:12:43')
('OA', '29/12/18', '12:12:44')
('OA', '29/12/18', '12:12:44')
('OA', '29/12/18', '12:12:44')
('OA', '29/12/18', '12:12:44')
('OA', '29/12/18', '12:12:44')
('OA', '29/12/18', '12:12:44')
('OA', '29/12/18', '12:12:45')
('OA', '29/12/18', '12:12:45')
('OA', '29/12/18', '12:12:45')
('OA', '29/12/18', '12:12:45')
('OA', '29/12/18', '12:12:45')
('OA', '29/12/18', '12:12:45')
('OA', '29/12/18', '12:12:45')
('OA', '29/12/18', '12:12:45')
('OA', '29/12/18', '12:12:46')
('OA', '29/12/18', '12:12:46')
('OA', '29/12/18', '12:12:46')
('OA', '29/12/18', '12:12:46')
('OA', '29/12/18', '12:12:47')
('OA', '29/12/18', '12:12:47')
('OA', '29/12/18', '12:12:48')
('OA', '29/12/18', '12:12:48')
('OA', '29/12/18', '12:12:48')
('OA', '29/12/18', '12:12:48')
('OA', '29/12/18', '12:12:48')
('OA', '29/12/18', '12:12:48')
('OA', '29/12/18', '12:12:49')
('OA', '29/12/18', '12:12:49')
('OA', '29/12/18', '12:12:49')
('OA', '29/12/18', '12:12:49')
('OA', '29/12/18', '12:12:49')
('OA', '29/12/18', '12:12:49')
('OA', '29/12/18', '12:12:49')
('OA', '29/12/18', '12:12:49')
('OA', '29/12/18', '12:12:50')
('OA', '29/12/18', '12:12:50')
('OA', '29/12/18', '12:12:50')
('OA', '29/12/18', '12:12:50')
('OA', '29/12/18', '12:12:50')
('OA', '29/12/18', '12:12:50')
('OA', '29/12/18', '12:12:51')
('OA', '29/12/18', '12:12:51')
('OA', '29/12/18', '12:12:52')
('OA', '29/12/18', '12:12:52')
('OA', '29/12/18', '12:12:53')
('OA', '29/12/18', '12:12:53')
('OA', '29/12/18', '12:12:53')
('OA', '29/12/18', '12:12:53')
('OA', '29/12/18', '12:12:53')
('OA', '29/12/18', '12:12:53')
('OA', '29/12/18', '12:12:54')
('OA', '29/12/18', '12:12:54')
('OA', '29/12/18', '12:12:55')
('OA', '29/12/18', '12:12:55')
('OA', '29/12/18', '12:12:56')
('OA', '29/12/18', '12:12:56')
('OA', '29/12/18', '12:12:56')
('OA', '29/12/18', '12:12:56')
('OA', '29/12/18', '12:12:57')
('OA', '29/12/18', '12:12:57')
('OA', '29/12/18', '12:12:57')
('OA', '29/12/18', '12:12:57')
('OA', '29/12/18', '12:12:58')
('OA', '29/12/18', '12:12:58')
('OA', '29/12/18', '12:12:59')
('OA', '29/12/18', '12:12:59')
('OA', '29/12/18', '12:12:59')
('OA', '29/12/18', '12:12:59')
('OA', '29/12/18', '12:13:00')
('OA', '29/12/18', '12:13:00')
('OA', '29/12/18', '12:13:00')
('OA', '29/12/18', '12:13:00')
('OA', '29/12/18', '12:13:00')
('OA', '29/12/18', '12:13:00')
('OA', '29/12/18', '12:13:03')
('OA', '29/12/18', '12:13:03')
('OA', '29/12/18', '12:13:03')
('OA', '29/12/18', '12:13:03')
('OA', '29/12/18', '12:13:04')
('OA', '29/12/18', '12:13:04')
('OA', '29/12/18', '12:13:04')
('OA', '29/12/18', '12:13:04')
('OA', '29/12/18', '12:13:04')
('OA', '29/12/18', '12:13:04')
('OA', '29/12/18', '12:13:06')
('OA', '29/12/18', '12:13:06')
('OA', '29/12/18', '12:13:07')
('OA', '29/12/18', '12:13:07')
('NR', '29/12/18', '12:13:07')
('NR', '29/12/18', '12:13:08')
('NR', '29/12/18', '12:13:08')
('NR', '29/12/18', '12:13:08')
('NR', '29/12/18', '12:13:08')
('NR', '29/12/18', '12:13:08')
('NR', '29/12/18', '12:13:08')
('NR', '29/12/18', '12:13:08')
('NR', '29/12/18', '12:13:08')
('NR', '29/12/18', '12:13:09')
('NR', '29/12/18', '12:13:09')
('NR', '29/12/18', '12:13:09')
('NR', '29/12/18', '12:13:09')
