('OA', '28/12/18', '03:14:17')
('OA', '28/12/18', '03:14:17')
('OA', '28/12/18', '03:14:17')
('OA', '28/12/18', '03:14:17')
('OA', '28/12/18', '03:14:18')
('OA', '28/12/18', '03:14:18')
('OA', '28/12/18', '03:14:19')
('OA', '28/12/18', '03:14:19')
('OA', '28/12/18', '03:14:19')
('OA', '28/12/18', '03:14:19')
('OA', '28/12/18', '03:14:19')
('OA', '28/12/18', '03:14:19')
('NR', '28/12/18', '03:14:20')
('NR', '28/12/18', '03:14:20')
('NR', '28/12/18', '03:14:20')
('NR', '28/12/18', '03:14:20')
('NR', '28/12/18', '03:14:20')
('NR', '28/12/18', '03:14:20')
('NR', '28/12/18', '03:14:21')
('NR', '28/12/18', '03:14:21')
('NR', '28/12/18', '03:14:21')
('NR', '28/12/18', '03:14:21')
('NR', '28/12/18', '03:14:21')
('NR', '28/12/18', '03:14:22')
('NR', '28/12/18', '03:14:22')
('NR', '28/12/18', '03:14:22')
('NR', '28/12/18', '03:14:22')
('NR', '28/12/18', '03:14:22')
('NR', '28/12/18', '03:14:23')
('NR', '28/12/18', '03:14:23')
('NR', '28/12/18', '03:14:23')
('NR', '28/12/18', '03:14:23')
('NR', '28/12/18', '03:14:23')
('NR', '28/12/18', '03:14:24')
('NR', '28/12/18', '03:14:24')
('NR', '28/12/18', '03:14:24')
('NR', '28/12/18', '03:14:24')
('NR', '28/12/18', '03:14:24')
('NR', '28/12/18', '03:14:24')
('NR', '28/12/18', '03:14:25')
('NR', '28/12/18', '03:14:25')
('NR', '28/12/18', '03:14:25')
('NR', '28/12/18', '03:14:25')
('NR', '28/12/18', '03:14:25')
('NR', '28/12/18', '03:14:26')
('NR', '28/12/18', '03:14:26')
('NR', '28/12/18', '03:14:26')
('NR', '28/12/18', '03:14:26')
('NR', '28/12/18', '03:14:26')
('NR', '28/12/18', '03:14:26')
('NR', '28/12/18', '03:14:27')
('OA', '28/12/18', '03:14:27')
('OA', '28/12/18', '03:14:27')
('OA', '28/12/18', '03:14:28')
